Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ben Peoples","CHW",0.306528,0.336173,0,4.388,9.822,0,0,0,,10.1732,43.8929,9.01168,5.31,4.96,1.40246,4.50314,0.28414,0.526975,9.41415,8.32849,3.98382,2.09058,1.24073,0.21448,0.102594,0.11188621073961258,0.231884,1.32847,0.27131,0.71029,,,4.55987,0.0252848,0.0230332,999,,,,,,,38.300000000000004,3.8300000000000005,37,3.7,,,,,,,,,,,,,,,,,,,"Ben Peoples","sa3011784",687239
"Rafael Montero",,2.66543,3.17364,0,4.65992,49.325,0,0,0,,50.4086,220.612,47.4374,27.92,26.1,6.1761,23.5181,1.02757,2.77199,45.8043,8.17794,4.19895,1.94762,1.10269,0.207624,0.106604,0.1010197103023529,0.244118,1.40761,0.289875,0.690679,,,4.47521,0.02417,-0.190418,999,,,,,,,185,3.7,183,3.66,,,,,,,,,,,,,,,,,,,"Rafael Montero","12760",606160
"Tayler Saucedo","LAA",1.13918,1.08352,0,4.55869,31.407,0,0,0.65,,32.3185,141.634,32.0734,17.54,16.37,3.80091,13.5803,0.873404,1.99294,27.789,7.73862,3.78181,2.04628,1.05847,0.196202,0.0958824,0.10031955689191818,0.254427,1.41262,0.29927,0.697049,,,4.38994,0.0239667,-0.129966,999,,,,,,,116.40000000000002,3.6375000000000006,120,3.75,,,,,,,,,,,,,,,,,,,"Tayler Saucedo","17888",642048
"Nabil Crismatt","TEX",0.238455,0.382153,0.133843,5.23901,1.603,0.823,0,0,,5.8408,25.447,6.26739,3.63,3.4,0.991944,1.7896,0.0701376,0.266752,4.09824,6.31491,2.75756,2.29003,1.52847,0.16105,0.0703264,0.09072337299585342,0.267944,1.37943,0.288268,0.663889,,,4.99581,0.0212376,-0.0347902,999,,,,,,,18.500000000000007,3.0833333333333344,19,3.1666666666666665,,,,,,,,,,,,,,,,,,,"Nabil Crismatt","17732",622503
"Bradley Blalock","MIA",0.498251,0.837789,0,4.95111,13.462,1.017,0,0.6408,,18.5413,81.8673,19.1966,10.94,10.2,2.55597,7.63079,0.634516,0.79996,13.4685,6.53765,3.70401,1.76502,1.24068,0.164516,0.0932092,0.07130708545446396,0.261404,1.4469,0.289846,0.683357,,,4.83851,0.0210777,-0.052535,747.1099853515625,,,,,,,57.29999999999999,3.01578947368421,59,3.1052631578947367,,,,,,,,,,,,,,,,,,,"Bradley Blalock","26419",687134
"Carson Spiers","CIN",0.299558,0.553351,0.260657,5.48925,1.893,1.14,0,0,,7.9683,35.2598,8.62988,5.18,4.86,1.47143,2.85979,0.103106,0.416702,6.26004,7.07056,3.23006,2.18899,1.66194,0.17754,0.0811061,0.0964340940117836,0.269824,1.44192,0.295171,0.66913,,,5.19806,0.0206667,-0.0135431,999,,,,,,,26.500000000000007,3.312500000000001,30,3.75,,,,,,,,,,,,,,,,,,,"Carson Spiers","27685",686730
"Troy Watson","DET",0.338232,0.531439,0.465108,5.32758,1.316,1.316,0,0,,6.7404,29.6708,7.11159,4.28,3.99,1.18071,2.57217,0.0205489,0.29523,4.59455,6.13479,3.43445,1.78625,1.57652,0.154851,0.0866903,0.06816058605909348,0.265324,1.43667,0.282045,0.672882,,,5.32526,0.0204887,0.036766,999,,,,,,,22.3,3.185714285714286,23,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Troy Watson","sa3007249",681890
"Carlos Hernández","CLE",0.457767,0.466639,0,4.73753,11.785,0.023,0,0.6841,,12.4242,54.2058,11.6133,6.98,6.54,1.75249,5.42641,0.239816,0.617549,11.3671,8.23422,3.93085,2.09477,1.26949,0.209702,0.100107,0.10959441214799881,0.241131,1.37149,0.281398,0.689672,,,4.59842,0.0202312,-0.0740491,999,,,,,,,41.000000000000014,3.416666666666668,42,3.5,,,,,,,,,,,,,,,,,,,"Carlos Hernandez","22713",672578
"Blas Castaño","SEA",0.291281,0.276372,0,4.52256,8.006,0.006,0,0.6442,,9.373,40.7892,8.9616,5.05,4.71,1.15169,3.78901,0.284891,0.638538,7.90177,7.58731,3.63823,2.08544,1.10586,0.193722,0.0928926,0.10082962363958359,0.246458,1.36036,0.285992,0.691367,,,4.46354,0.0188221,-0.0301972,999,,,,,,,35.90000000000001,3.9888888888888903,37,4.111111111111111,,,,,,,,,,,,,,,,,,,"Blas Castano","26117",680604
"Drew Pomeranz","LAA",2.06743,2.2101,0,4.73211,56.565,0.487,2,10.9738,,56.6386,247.328,53.1946,31.97,29.78,9.14888,24.7835,1.3431,2.85748,60.6331,9.63474,3.93816,2.44651,1.45378,0.245153,0.100205,0.14494752883911133,0.242138,1.37677,0.293824,0.705974,,,4.55806,0.0150428,-0.225218,680.739990234375,,,,,,,265.29999999999995,4.65438596491228,260,4.56140350877193,,,,,,,,,,,,,,,,,,,"Drew Pomeranz","11426",519141
