Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Trent Grisham","NYY",128.826,523.819,444.107,97.6558,53.9716,16.9451,1.58027,25.1588,69.0411,65.1199,68.2048,0.476471,129.661,5.91227,3.01647,2.57824,8.04673,5.5746,1.54423,0.219892,0.130207,0.24753,0.526024,0.329546,0.435115,0.333558,0.764661,0.215223,4.03297,0.248019,,-0.359925,70.613,8.7197,115.448,-0.359925,0,9.17717558145523,1.9880554676055908,2.98693,266.8299865722656,,,,,,,628.3,4.870542635,628.3,4.870542635,,,,,,,,,,,,,,,,,,,"Trent Grisham","18564",663757
"Brent Rooker","ATH",150.111,639.579,566.988,150.227,84.7833,30.3615,1.39829,33.6839,89.5784,93.1806,59.3284,2.42076,161.139,8.3656,4.32908,0.567967,9.16261,6.84321,1.9727,0.264956,0.0927617,0.251946,0.368181,0.341029,0.501663,0.359823,0.842691,0.236707,3.829,0.309549,,-0.429838,99.8567,24.2855,129.593,-0.429838,0,21.87788227200508,-15.142775535583496,2.94132,55.599998474121094,,,,,,,894,5.96,894,5.96,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Jose Altuve","HOU",138.387,598.91,539.956,141.764,93.5357,25.9335,0.571137,21.7236,76.979,72.1889,49.245,1.84041,104.082,5.10952,3.60604,0.993752,12.0205,11.9806,3.4269,0.262547,0.0822244,0.173786,0.473135,0.328003,0.433388,0.329887,0.761391,0.170841,4.18167,0.287345,,0.0285693,78.9507,8.18482,112.366,0.0285693,0,8.757680974900723,-0.9016985893249512,2.91279,124.13999938964844,,,,,,,719.5,5.213768115,719.5,5.213768115,,,,,,,,,,,,,,,,,,,"Jose Altuve","5417",514888
"Eugenio Suárez",,138.518,576.418,512.577,118.078,62.6601,22.146,0.628254,32.6432,72.7965,90.1313,47.579,0.427229,171.823,9.97095,4.997,0.450756,7.31222,2.73121,0.756697,0.230361,0.0825425,0.298087,0.276907,0.305374,0.467071,0.331177,0.772445,0.23671,2.89515,0.272859,,-0.554406,76.5892,8.48096,112.209,-0.554406,0,7.763515114784241,0.8075466156005859,2.87289,132.50999450683594,,,,,,,704.4,5.067625899,704.4,5.067625899,,,,,,,,,,,,,,,,,,,"Eugenio Suarez","12552",553993
"Randy Arozarena","SEA",151.825,658.44,570.545,133.959,83.3862,24.9684,2.59143,23.0134,87.9422,72.7903,66.1727,0.843495,171.789,17.0385,4.04298,0.64117,10.9718,25.2722,6.83587,0.234792,0.100499,0.260904,0.385196,0.330147,0.408646,0.3247,0.738793,0.173854,5.91034,0.292129,,1.16078,84.0251,6.22537,114.749,1.16078,0,12.606781363487244,-7.222170352935791,2.86956,102.16999816894531,,,,,,,762.1,5.013815789,762.1,5.013815789,,,,,,,,,,,,,,,,,,,"Randy Arozarena","19290",668227
"J.P. Crawford","SEA",142.409,590.016,510.051,123.457,88.2942,23.4309,0.601572,11.1301,63.0001,55.7022,65.2701,0.738299,114.06,5.23447,3.40483,3.34192,12.7515,4.06808,1.49195,0.242048,0.110624,0.193317,0.572242,0.332148,0.35581,0.307393,0.687958,0.113762,2.94998,0.289304,,-0.840829,67.0027,-2.71225,102.827,-0.840829,0,1.1250355243682861,6.593008995056152,2.86735,385.6600036621094,,,,,,,569.4,4.009859154,569.4,4.009859154,,,,,,,,,,,,,,,,,,,"J.P. Crawford","15491",641487
"CJ Abrams","WSN",140.229,606.678,551.976,138.476,89.1097,27.9127,3.21701,18.2366,76.636,66.8003,36.4849,1.34301,117.142,11.7272,4.22866,2.26125,8.63656,30.2811,7.8719,0.250873,0.0601389,0.193088,0.311458,0.308873,0.412215,0.312729,0.721088,0.161341,6.35505,0.285723,,1.93485,71.5228,-0.160838,99.8344,1.93485,0,1.8157446682453156,6.011188507080078,2.8659,56.540000915527344,,,,,,,666.9,4.763571428,666.9,4.763571428,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
"Riley Greene","DET",147.201,620.774,554.571,141.974,84.7441,24.9687,3.70505,28.5563,82.2974,85.0327,56.6799,1.82815,177.467,4.88492,4.17169,0.465958,10.8077,3.71883,0.968358,0.256007,0.0913053,0.28588,0.319383,0.328126,0.46887,0.342042,0.796996,0.212863,4.3594,0.321552,,-0.606608,87.9591,14.6099,119.913,-0.606608,0,13.962990820407867,-7.40108585357666,2.85738,79.51000213623047,,,,,,,798.9,5.434693877,798.9,5.434693877,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Carlos Correa","HOU",128.508,541.304,481.313,128.592,87.9706,23.2863,0.342161,16.9934,64.9868,65.0141,48.3319,1.52709,107.624,3.26154,3.66916,0.507526,12.3245,0.348994,0.107038,0.26717,0.0892879,0.198823,0.449083,0.335807,0.422892,0.330182,0.758699,0.155722,1.71337,0.309683,,-0.88531,71.4865,7.52728,112.569,-0.88531,0,7.1339027881622314,2.0810811519622803,2.84897,270.510009765625,,,,,,,620.9,4.813178294,620.9,4.813178294,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Pete Crow-Armstrong","CHC",146.267,605.724,551.629,136.583,81.4523,27.1626,5.0792,22.8888,85.8645,68.4535,34.0203,2.27389,148.875,7.89339,4.91239,7.26933,5.4837,32.7641,7.56485,0.247599,0.0561648,0.24578,0.228516,0.298262,0.439734,0.3157,0.737997,0.192135,7.67616,0.29548,,2.65547,72.8716,1.3006,103.642,2.65547,0,5.2699995040893555,2.257206678390503,2.83199,34.79999923706055,,,,,,,704.5,4.825342465,704.5,4.825342465,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Luke Keaschall","MIN",124.981,528.088,469.138,127.924,87.9578,27.0322,1.29475,11.639,68.1327,54.1917,44.9335,1.56278,88.8728,8.57823,4.81424,0.623675,9.20791,20.2192,4.51714,0.272678,0.0850872,0.168292,0.505594,0.343977,0.410247,0.329734,0.754224,0.137569,5.30525,0.311388,,1.27037,69.549,7.15137,110.928,1.27037,0,8.071826219558716,1.3501033782958984,2.82361,152.1999969482422,,,,,,,630.6,5.0448,630.6,5.0448,,,,,,,,,,,,,,,,,,,"Luke Keaschall","33321",807712
"Jackson Chourio","MIL",144.957,627.953,577.83,157.354,97.8695,33.1244,3.17578,23.1841,83.783,86.3154,40.0155,2.50476,127.49,4.32928,4.58582,1.19257,9.25127,24.4976,6.27738,0.272319,0.0637237,0.203025,0.313871,0.321811,0.461004,0.335058,0.782815,0.188686,5.86348,0.310764,,1.40651,85.4154,11.2179,115.865,1.40651,0,13.214324831962585,-6.614757537841797,2.81275,20.030000686645508,,,,,,,791,5.455172413,791,5.455172413,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
