Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Carlos Rodriguez,MIL,1.8948532025614984,2.180846665130125,0.9007621966556942,4.40339,27.280728857724508,2.3735113184486414,0.0,0.46261493753096194,,38.29990166666667,165.1216661114076,36.244616680543366,20.011777188453365,18.738798602629846,5.953506277543153,14.943231675732902,0.6740332605261095,1.7956638715374411,35.091778791085765,8.24613,3.51147,2.34834,1.399,0.212521,0.0904983,0.1220224350690841,0.244264,1.3365,0.282204,0.727513,0.360968,,4.63458,0.09834468332338726,0.13499638649765344,999.0,,,,,,,141.38508779647768,3.711538461538461,139.18739213124746,3.6538461538461537,7.65593,6.24011,5.37821,4.74478,4.21533,3.74637,3.30441,2.85595,2.32748,5.41023,5.14324,4.95974,4.80625,4.67275,4.53925,4.40226,4.24527,4.03177,Carlos Rodriguez,30161,692230.0
Henry Baez,ATH,1.0058,1.232,1.3194,4.72364,3.24,3.24,0.0,0.0,,18.468,81.214,19.9607,10.4905,9.69291,2.42341,7.1083,0.0744,0.9627,12.6991,6.18864,3.46408,1.78652,1.181,0.156366,0.0875256,0.0688403472304344,0.2729,1.46572,0.30226,0.700217,0.489517,,4.77685,0.133741,0.143234,999.0,,,,,,,58.60000000000002,3.255555555555557,66.0,3.6666666666666665,8.69,6.92,5.87,5.1,4.47,3.92,3.4,2.89,2.3,5.89,5.6,5.4,5.23,5.08,4.93,4.78,4.61,4.38,Henry Baez,sa3016584,692013.0
Bryan Hudson,CHW,1.2502,1.2993,0.0,3.88857,26.0,0.0,0.0,0.6096,,26.0,111.301,24.0037,12.182,11.2337,3.14889,10.9181,0.6711,1.0594,24.7096,8.55332,3.77934,2.26318,1.09,0.222007,0.0980953,0.1239117383956909,0.241672,1.34315,0.291818,0.745241,0.437419,,4.19086,0.132737,0.158575,999.0,,,,,,,111.1,4.273076923076923,109.0,4.1923076923076925,7.07,5.67,4.84,4.22,3.72,3.27,2.86,2.44,1.95,4.97,4.68,4.49,4.32,4.18,4.04,3.89,3.73,3.51,Bryan Hudson,19924,663542.0
Yohan Ramírez,PIT,2.2744075,2.342301666666667,0.0,3.99001,47.083333333333336,0.0,0.0,4.135705833333334,,47.083333333333336,204.70985833333336,44.557030000000005,22.646518333333333,20.873642500000003,4.9175905,19.114420833333337,1.2436591666666668,4.518964166666667,45.53796416666667,8.7046,3.65373,2.38239,0.94,0.222451,0.0933732,0.1290780082345008,0.246067,1.35231,0.303469,0.722438,0.459204,,4.0644,0.12428116666666666,0.27834630833333335,999.0,,,,,,,210.2741666666667,4.466,209.05,4.44,6.53,5.53,4.91,4.44,4.03,3.67,3.31,2.94,2.49,5.05,4.78,4.59,4.43,4.29,4.16,4.02,3.86,3.65,Yohan Ramirez,19444,670990.0
Trevor Williams,WSN,1.2750885,1.5279839999999998,0.55344225,4.29529,19.27665,1.59165,0.0,0.6450112499999999,,26.205633,111.7603575,26.99271375,13.406016,12.506733749999999,3.93084495,6.715387499999999,0.4776915,0.9107775,21.7256295,7.4614,2.30632,3.2352,1.35,0.194395,0.0600874,0.134307399392128,0.259211,1.28629,0.293865,0.719807,0.385348,,4.30009,0.12947974499999998,0.13305211499999997,999.0,,,,,,,102.57300000000001,3.866666666666667,105.1275,3.962962962962963,8.39305,6.38717,5.25085,4.43981,3.79803,3.24926,2.75025,2.26098,1.72822,5.28711,5.03061,4.8541,4.71085,4.5776,4.44435,4.3111,4.15785,3.96134,Trevor Williams,16977,592866.0
JR Ritchie,ATL,1.0725,1.162,1.3762,4.5643,3.24,3.24,0.0,0.0,,18.468,80.646,19.1847,10.109,9.36594,2.46035,7.0627,0.0739,0.8888,14.9755,7.298,3.44186,2.12036,1.199,0.185694,0.0875766,0.0981177017092704,0.263909,1.42124,0.302656,0.707734,0.457445,,4.53691,0.13166,0.136458,999.0,,,,,,,65.20000000000002,3.622222222222223,70.0,3.888888888888889,8.45,6.69,5.65,4.89,4.28,3.74,3.24,2.74,2.16,5.73,5.43,5.22,5.04,4.89,4.74,4.58,4.4,4.17,JR Ritchie,sa3020395,702275.0
Ty Madden,DET,1.2827050293901545,1.4448045958853788,0.6317532696546658,4.22745,18.555387950036742,1.5320962527553272,0.0,0.5769004408523145,,25.743000000000002,110.51426396032332,24.94905259000735,12.999552983100664,12.091927814107276,3.403797717487142,9.274762185892728,0.4702211462160177,0.9473461829537108,22.993643817046294,8.0388,3.24255,2.47916,1.19,0.20806,0.0839237,0.1241367533802986,0.248764,1.32944,0.291567,0.72048,0.39692,,4.25887,0.1243513628949302,0.07314624720793535,999.0,,,,,,,96.46531961792805,3.777777777777779,96.46531961792802,3.7777777777777777,8.30373,6.30937,5.18049,4.38242,3.74145,3.20403,2.70677,2.22629,1.69258,5.32065,5.02388,4.82049,4.6571,4.50372,4.36033,4.21356,4.04017,3.82339,Ty Madden,30140,680744.0
Mason Black,KCR,1.9530593162774468,2.3998158003695904,1.0585937756324082,4.70957,25.948073830852874,3.0863347728327213,0.0,0.6366041755197862,,40.03519166666667,175.55053136423302,41.25019784035437,22.426318186210946,20.949830872047144,5.658308994033811,15.690773573487835,0.6303171972788306,2.018310529838879,32.09616700703095,7.21529,3.52732,2.04554,1.272,0.182831,0.0893804,0.0934511125087738,0.261339,1.42227,0.296384,0.704103,0.399122,,4.69609,0.12518135735711086,0.007275072128767781,999.0,,,,,,,136.40837637952023,3.4095238095238094,142.88586911262595,3.5714285714285716,8.22927,6.67693,5.74901,5.05243,4.47759,3.97451,3.49534,3.00617,2.44092,5.72159,5.45768,5.27376,5.12593,4.98201,4.84809,4.71418,4.55026,4.34243,Mason Black,30171,696131.0
Manuel Rodríguez,TBR,0.7898,0.779,0.0,3.84406,16.0,0.0,0.0,0.6602,,16.0,68.056,15.5512,7.4657,6.83388,1.74044,5.4838,0.4019,0.7743,14.7923,8.32067,3.08464,2.69745,0.979,0.217355,0.0805778,0.1367770731449127,0.251646,1.31469,0.305108,0.729596,0.505343,,3.8736,0.131246,0.13145,999.0,,,,,,,68.20000000000002,4.262500000000001,70.0,4.375,7.64,5.83,4.8,4.06,3.48,2.98,2.52,2.08,1.59,4.97,4.67,4.47,4.31,4.16,4.02,3.87,3.7,3.48,Manuel Rodriguez,20794,655889.0
José Leclerc,,2.1669,2.1474,0.0,4.04927,44.0,0.0,0.0,0.0,,44.0,188.518,38.392,21.1689,19.7964,5.90578,19.0161,1.0438,1.8379,47.1277,9.63976,3.88966,2.47831,1.208,0.24999,0.100872,0.1491189152002334,0.228982,1.30473,0.283399,0.737468,0.343,,4.15972,0.129338,0.202026,999.0,,,,,,,184.0,4.181818181818182,173.0,3.9318181818181817,6.66,5.59,4.93,4.42,4.0,3.62,3.25,2.86,2.4,5.09,4.8,4.6,4.44,4.29,4.15,4.0,3.84,3.62,Jose Leclerc,14524,600917.0
Joe Rock,TBR,1.7498,1.9195,0.6711,4.15316,27.62,1.62,0.0,0.6602,,35.234,150.885,36.4964,17.6321,16.2592,4.7331,10.4032,0.6993,1.5638,28.3322,7.23704,2.65734,2.72341,1.209,0.187773,0.0689479,0.1188255921006202,0.262719,1.33109,0.300071,0.726723,0.462861,,4.29217,0.128925,0.107916,750.7100219726562,,,,,,,127.9,3.6542857142857144,134.0,3.8285714285714287,7.82685,6.1307,5.14394,4.43221,3.85669,3.3569,2.89758,2.44614,1.92517,5.1918,4.93656,4.75394,4.6087,4.47607,4.34345,4.21083,4.05821,3.85297,Joe Rock,30016,697812.0
Ryan Thompson,ARI,2.795283616935484,2.7374012056451615,0.0,4.09866,56.42625,0.0,2.057737923387097,11.742120604838709,,56.42625,242.06861250000003,58.314254122983876,28.001071512096775,25.69687829032258,5.711592439112904,18.553861100806454,1.647555489919355,2.3117470584677418,45.654933925403235,7.28197,2.95935,2.46067,0.911,0.188603,0.0766471,0.1119561493396759,0.263623,1.36228,0.309725,0.709535,0.5019,,3.94217,0.1161707275403226,0.18542757870967744,737.3400268554688,,,,,,,283.5874112903225,5.025806451612902,295.7827620967742,5.241935483870968,6.51,5.61,5.04,4.6,4.22,3.87,3.53,3.17,2.73,5.22,4.94,4.74,4.58,4.43,4.29,4.14,3.97,3.75,Ryan Thompson,16647,657044.0
Porter Hodge,CHC,2.3991828,2.2629995999999997,0.0,3.87173,47.55,0.0,0.0,4.606644,,47.55,204.51635399999998,41.0439237,22.1393751,20.455629599999998,5.53693122,23.624266499999997,1.1845656,1.9052334,51.5703525,9.76095,4.47147,2.18294,1.048,0.252158,0.115513,0.1366447508335113,0.229312,1.36,0.291328,0.747214,0.419924,,4.09051,0.12031671599999999,0.300444675,736.2000122070312,,,,,,,220.0614,4.627999999999999,208.26899999999998,4.38,6.37,5.38,4.76,4.29,3.89,3.53,3.18,2.82,2.38,4.94,4.65,4.46,4.3,4.15,4.01,3.87,3.71,3.49,Porter Hodge,26413,687863.0
Jackson Rutledge,WSN,1.8719912121212123,2.1197199242424247,0.0,4.26979,40.708333333333336,0.0,0.0,7.349556515151516,,40.708333333333336,175.0895022727273,39.189468409090914,20.739341515151516,19.312921515151515,5.604183022727273,15.004647575757579,0.9191941666666668,2.377366666666667,35.90682242424243,7.93846,3.3173,2.39305,1.239,0.205077,0.085697,0.1193799376487732,0.248495,1.33128,0.289039,0.721813,0.400761,,4.44167,0.09362620606060607,0.09750089924242425,999.0,,,,,,,177.48833333333337,4.36,177.63636363636365,4.363636363636363,6.73,5.78,5.18,4.71,4.32,3.95,3.6,3.23,2.77,5.28,5.02,4.84,4.69,4.55,4.42,4.29,4.13,3.93,Jackson Rutledge,26215,671131.0
Brennan Bernardino,COL,2.4656815732758623,2.8011068750000003,0.0,4.51745,53.712500000000006,0.0,1.7706603448275862,9.599072004310345,,53.712500000000006,237.56112672413795,55.71217933189656,29.05670295258621,26.96034112068966,6.636475719827587,23.672950905172414,2.380112004310345,3.163110603448276,49.14277015086207,8.2343,3.96661,2.0759,1.112,0.206864,0.0996499,0.1072137504816055,0.264383,1.47796,0.316728,0.718013,0.459332,,4.41039,0.11686265668103449,0.33069304525862075,999.0,,,,,,,237.16846982758625,4.415517241379311,248.1887931034483,4.620689655172414,7.05,6.09,5.48,5.01,4.61,4.24,3.87,3.49,3.01,5.67,5.36,5.16,4.99,4.83,4.68,4.53,4.35,4.12,Brennan Bernardino,16835,657514.0
