Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Albert Gutierrez,,0.25,1.0,0.9396,0.1347,0.1032,0.0158,0.0014,0.0142,0.0644,0.066,0.039,0.0,0.3467,0.01,0.0074,0.004,,0.0073,0.0024,0.143359,0.039,0.3467,0.112489,0.184438,0.208387,0.179508,0.392824,0.0650277,3.65318,0.205596,0.0,-0.000330654,0.00758973,-0.110156,-100.0,-0.000330654,0.0,-0.11048712345655076,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Albert Gutierrez,sa3021200,808212
Manuel De Cesare,,0.25,1.0,0.9466,0.1428,0.1128,0.0168,0.0014,0.0118,0.0631,0.0647,0.032,0.0,0.3256,0.01,0.0074,0.004,,0.0069,0.0022,0.150856,0.032,0.3256,0.0982801,0.185542,0.208958,0.179501,0.394501,0.0581027,3.35251,0.212455,0.0,-0.000342379,0.00758463,-0.110162,-100.0,-0.000342379,0.0,-0.11050394456833601,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Manuel De Cesare,sa3023777,821699
Adan Chacon,,0.25,1.0,0.9326,0.1312,0.1024,0.0146,0.0014,0.0129,0.0641,0.0634,0.046,0.0,0.3479,0.01,0.0074,0.004,,0.0087,0.0028,0.140682,0.046,0.3479,0.132222,0.187952,0.200944,0.179491,0.388895,0.0602616,3.77369,0.204247,0.0,-0.000247583,0.00757666,-0.11017,-100.0,-0.000247583,0.0,-0.11041712039150298,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Adan Chacon,sa3021121,807960
Samuel Rojas,,0.25,1.0,0.9236,0.1289,0.1024,0.0163,0.0016,0.0086,0.0632,0.058,0.053,0.0,0.3076,0.012,0.0074,0.004,,0.0105,0.0034,0.139563,0.053,0.3076,0.172302,0.194679,0.18861,0.179462,0.383289,0.0490472,3.94355,0.195673,0.0,-0.000181387,0.00755288,-0.110193,-100.0,-0.000181387,0.0,-0.1103746994631365,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Samuel Rojas,sa3016088,691446
Antony Gomez,,0.25,1.0,0.9146,0.1203,0.0947,0.0133,0.0014,0.0109,0.064,0.0582,0.064,0.0,0.3704,0.01,0.0074,0.004,,0.0118,0.0039,0.131533,0.064,0.3704,0.172786,0.19508,0.18489,0.179441,0.37997,0.0533567,3.98167,0.20233,0.0,-0.000133386,0.00753636,-0.11021,-100.0,-0.000133386,0.0,-0.11034322404884733,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Antony Gomez,sa3021242,808315
Andrews Sosa,,0.25,1.0,0.9226,0.1276,0.1018,0.015,0.0013,0.0095,0.0631,0.0584,0.056,0.0,0.3285,0.01,0.0074,0.004,,0.0092,0.003,0.138305,0.056,0.3285,0.170472,0.194378,0.188272,0.179289,0.38265,0.0499675,3.51709,0.199493,0.0,-0.000279415,0.00741507,-0.110331,-100.0,-0.000279415,0.0,-0.11061054011224769,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Andrews Sosa,sa3019765,806237
Geyber Blanco,,0.25,1.0,0.9466,0.1472,0.1176,0.0213,0.0017,0.0066,0.0617,0.0598,0.031,0.0,0.2916,0.011,0.0074,0.004,,0.0096,0.0031,0.155504,0.031,0.2916,0.10631,0.18996,0.202514,0.17928,0.392474,0.0470103,3.92182,0.214395,0.0,-0.000197007,0.00740756,-0.110339,-100.0,-0.000197007,0.0,-0.11053564285975881,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Geyber Blanco,sa3021644,809770
Angel Feliz,,0.25,1.0,0.9336,0.1327,0.1036,0.0157,0.0014,0.0119,0.0635,0.0624,0.045,0.0,0.365,0.01,0.0074,0.004,,0.0094,0.003,0.142138,0.045,0.365,0.123288,0.188454,0.200086,0.179193,0.388539,0.0579477,3.84348,0.214146,0.0,-0.000190688,0.00733824,-0.110408,-100.0,-0.000190688,0.0,-0.11059865144488867,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Angel Feliz,sa3019528,805467
Eyke Ugueto,,0.25,1.0,0.9256,0.1338,0.1098,0.0168,0.0016,0.0056,0.0617,0.0551,0.05,0.0,0.3008,0.013,0.0074,0.004,,0.0107,0.0035,0.144555,0.05,0.3008,0.166223,0.19759,0.184313,0.179148,0.381903,0.039758,3.94201,0.204596,0.0,-0.00021101,0.00730222,-0.110444,-100.0,-0.00021101,0.0,-0.11065498992684297,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Eyke Ugueto,sa3021305,808711
Carlos Avila,,0.25,1.0,0.9246,0.1309,0.106,0.015,0.0014,0.0085,0.0627,0.0578,0.053,0.002,0.3162,0.011,0.0074,0.004,,0.0087,0.0028,0.141575,0.053,0.3162,0.167615,0.195683,0.188406,0.178723,0.384089,0.0468311,3.72362,0.201548,0.0,-0.000298428,0.00696236,-0.110784,-100.0,-0.000298428,0.0,-0.11108226585201919,0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Carlos Avila,sa3016161,699066
Yemil Rosario,,0.25,1.0,0.9286,0.135,0.1106,0.0167,0.0016,0.0061,0.0616,0.0557,0.049,0.0,0.3176,0.011,0.0074,0.004,,0.0111,0.0036,0.14538,0.049,0.3176,0.154282,0.195783,0.186517,0.178601,0.3823,0.0411372,3.96182,0.210518,0.0,-0.000160381,0.00686468,-0.110882,-100.0,-0.000160381,0.0,-0.11104189613251947,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Yemil Rosario,sa3015838,699713
Adrian Ibarra,,0.25,1.0,0.9466,0.1404,0.1095,0.0165,0.0015,0.0129,0.0637,0.0656,0.032,0.0,0.3323,0.01,0.0074,0.004,,0.0095,0.0031,0.14832,0.032,0.3323,0.0962985,0.183133,0.209804,0.178596,0.392936,0.0614832,3.91897,0.209428,0.0,-0.000174107,0.00686056,-0.110886,-100.0,-0.000174107,0.0,-0.11105974917882122,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Adrian Ibarra,sa3021283,808532
Yensi Rivas,,0.25,1.0,0.9316,0.1381,0.1146,0.0165,0.0016,0.0055,0.0616,0.0553,0.046,0.0,0.3261,0.011,0.0074,0.004,,0.0158,0.0052,0.14824,0.046,0.3261,0.141061,0.195884,0.187205,0.178584,0.383088,0.0389652,4.31331,0.218308,0.0,0.000117957,0.00685047,-0.110896,-100.0,0.000117957,0.0,-0.11077776589809218,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Yensi Rivas,sa3023905,820979
Angel Rodriguez,,0.25,1.0,0.9346,0.1321,0.1025,0.016,0.0015,0.0121,0.0635,0.0627,0.041,0.0,0.3589,0.013,0.0074,0.004,,0.0096,0.0031,0.141344,0.041,0.3589,0.114238,0.186847,0.200514,0.178553,0.387361,0.0591697,3.92871,0.210158,0.0,-0.000180588,0.0068261,-0.11092,-100.0,-0.000180588,0.0,-0.11110068233392667,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Angel Rodriguez,sa3019618,800261
Jorge Garcia,,0.25,1.0,0.9386,0.1354,0.1054,0.0169,0.0017,0.0115,0.0632,0.0626,0.039,0.0,0.3661,0.011,0.0074,0.004,,0.0106,0.0034,0.144257,0.039,0.3661,0.106528,0.186145,0.202749,0.178505,0.388893,0.0584914,4.00958,0.21798,0.0,-9.7831e-05,0.00678769,-0.110959,-100.0,-9.7831e-05,0.0,-0.11105633267288795,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Jorge Garcia,sa3017853,699721
Alexander Garcia,,0.25,1.0,0.9226,0.1246,0.0969,0.0154,0.0014,0.0109,0.0632,0.0593,0.055,0.0,0.3801,0.011,0.0074,0.004,,0.0086,0.0028,0.135053,0.055,0.3801,0.144699,0.191365,0.190223,0.178493,0.381589,0.0551702,3.73899,0.210946,0.0,-0.000291417,0.00677774,-0.110968,-100.0,-0.000291417,0.0,-0.11125987232662737,-0.020999999716877937,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Alexander Garcia,sa3021142,808017
Joan Gutierrez,,0.25,1.0,0.9066,0.1172,0.0941,0.0146,0.0013,0.0072,0.0624,0.0531,0.071,0.0,0.3545,0.011,0.0074,0.004,,0.0102,0.0033,0.129274,0.071,0.3545,0.200282,0.2,0.172071,0.178387,0.372071,0.0427973,3.8222,0.199167,0.0,-0.000246443,0.00669289,-0.111053,-100.0,-0.000246443,0.0,-0.11129974565119483,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Joan Gutierrez,sa3021215,808241
Juan Martínez,,0.25,1.0,0.9246,0.1235,0.0944,0.0146,0.0014,0.0131,0.0644,0.0622,0.054,0.0,0.3541,0.01,0.0074,0.004,,0.01,0.0032,0.133571,0.054,0.3541,0.152499,0.188253,0.194895,0.17835,0.383148,0.0613238,3.90651,0.195467,0.0,-0.000151674,0.00666377,-0.111082,-100.0,-0.000151674,0.0,-0.11123410903383046,-0.012000000104308128,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,Juan Martinez,sa3019541,800417
John Zorrilla,,0.25,1.0,0.9246,0.1253,0.0974,0.0149,0.0014,0.0116,0.064,0.0606,0.054,0.0,0.3467,0.01,0.0074,0.004,,0.0113,0.0036,0.135518,0.054,0.3467,0.155754,0.19006,0.192299,0.178317,0.38236,0.0567813,4.01604,0.198187,0.0,-7.16546e-05,0.00663705,-0.111109,-100.0,-7.16546e-05,0.0,-0.11118079959851457,0.004000000189989805,,999.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,John Zorrilla,sa3016550,699005
