Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
DaShawn Keirsey Jr.,ATL,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.209103,0.0553681,0.286106,0.193523,0.272607,0.325988,0.270639,0.598595,0.116884,7.12276,0.277536,0.0,0.038011,0.326947,-0.151306,68.1971,0.038011,0.0,-0.11417299509048462,0.014506172388792038,0.00298564,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,DaShawn Keirsey Jr.,24496,680577
P.J. Higgins,CIN,7,26,24,5,4,1,0,0,1,2,2,0,6,0,0,0,,0,0,0.219443,0.065502,0.241804,0.270889,0.272943,0.278782,0.251951,0.551725,0.0593393,1.09617,0.28783,-0.0603633,-0.034505,1.72195,-1.37144,51.0868,-0.0948683,0.287737,-1.6087934225797653,0.8008540570735931,0.00262975,999.0,,,,,,,12.9,1.842857142,12.9,1.842857142,,,,,,,,,,,,,,,,,,,P.J. Higgins,18433,664731
Gustavo Campero,LAA,1,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,0,0.23403,0.0711386,0.199454,0.356667,0.301318,0.329754,0.285866,0.631072,0.0957246,5.69608,0.281302,0.00493487,0.00478061,0.340499,-0.0921093,77.5392,0.00971548,-0.089455,-0.087375208735466,-0.017695769667625427,0.00246164,999.0,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,Gustavo Campero,22707,672569
Chadwick Tromp,BAL,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.205161,0.0651616,0.260361,0.250274,0.259257,0.311525,0.256691,0.570782,0.106364,1.89858,0.261375,-0.00459414,-0.0035424,0.254744,-0.177864,60.3188,-0.00813655,0.00266356,-0.17966509517282248,0.07442281628027558,0.00244414,999.0,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,Chadwick Tromp,16953,644433
Shay Whitcomb,HOU,8,36,33,7,4,1,0,1,4,4,2,0,11,0,0,0,,1,0,0.209963,0.068796,0.305026,0.225541,0.26988,0.366975,0.282197,0.636855,0.157012,4.38545,0.270093,0.00990639,0.0616079,3.21073,-1.00197,76.7947,0.0715143,-0.429565,-0.9052809923887253,-0.33018188178539276,0.00228305,999.0,,,,,,,26.4,3.3,26.4,3.3,,,,,,,,,,,,,,,,,,,Shay Whitcomb,27789,694376
Justin Dean,CHC,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.204346,0.0899266,0.326458,0.275462,0.279198,0.256531,0.249737,0.535729,0.0521854,6.61968,0.311082,0.00239374,0.0517061,0.259029,-0.219224,56.2728,0.0540999,0.0312835,-0.15514487028121948,0.04578963667154312,0.00199585,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Justin Dean,25005,681909
Will Brennan,SFG,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.25442,0.0517501,0.142719,0.3626,0.296358,0.352215,0.288679,0.648573,0.0977945,3.91476,0.286611,-0.00468062,0.000754192,0.381463,-0.0917021,83.3184,-0.00392643,0.0164095,-0.08290259959176183,-0.026646027341485023,0.00183601,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Will Brennan,25660,686823
Kyle Farmer,ATL,3,12,11,3,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.231254,0.0617259,0.228597,0.270021,0.29307,0.3498,0.288605,0.64287,0.118547,3.00246,0.284348,-0.0243542,-0.0189145,1.15597,-0.278785,80.3968,-0.0432687,-0.00404994,-0.3246869519352913,-0.04756845626980066,0.00147304,999.0,,,,,,,8.8,2.933333333,8.8,2.933333333,,,,,,,,,,,,,,,,,,,Kyle Farmer,14813,571657
Maverick Handley,ATL,1,4,3,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.206245,0.0889272,0.283147,0.314067,0.287208,0.287512,0.26506,0.57472,0.081267,3.75952,0.28729,-0.00291984,-0.00295184,0.282347,-0.154913,64.4084,-0.00587168,-0.0152998,-0.1615875163115561,0.05723108537495136,0.00137787,999.0,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,Maverick Handley,26106,668974
Kemp Alderman,MIA,2,8,8,2,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.233557,0.0587242,0.277762,0.211419,0.282447,0.374164,0.290273,0.656611,0.140607,4.97422,0.300278,-0.000391332,0.0196682,0.781488,-0.175019,80.6569,0.0192768,0.00443835,-0.16584540531039238,-0.08259868109598756,0.000954056,999.0,,,,,,,3.2,1.6,3.2,1.6,,,,,,,,,,,,,,,,,,,Kemp Alderman,sa3022562,694580
Alika Williams,ATH,13,57,52,13,10,2,0,0,7,4,4,0,11,0,0,1,,0,0,0.247226,0.0633214,0.190751,0.331959,0.297941,0.312493,0.27649,0.610433,0.0652666,3.36453,0.303605,-0.0881226,-0.0758881,4.84341,-1.85213,69.5251,-0.164011,-0.280289,-2.202860251069069,0.21292078495025635,0.000938755,999.0,,,,,,,38.6,2.969230769,38.6,2.969230769,,,,,,,,,,,,,,,,,,,Alika Williams,27604,675961
Manuel Margot,,3,12,11,3,2,1,0,0,1,1,1,0,2,0,0,0,,0,0,0.247567,0.0646139,0.189907,0.34024,0.298546,0.346312,0.288495,0.644858,0.0987452,3.14383,0.295751,-0.00728446,-0.017591,1.1549,-0.279858,80.2924,-0.0248755,-0.135725,-0.30759952403604984,-0.0922064445912838,0.000789038,999.0,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,Manuel Margot,14712,622534
Junior Perez,CHW,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.206705,0.0894297,0.32629,0.27408,0.279627,0.31306,0.269144,0.592687,0.106354,4.56704,0.297603,0.00369293,0.00231168,0.325516,-0.157825,67.0882,0.00600461,0.00135585,-0.15294612105935812,0.01601633953396231,0.000754386,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Junior Perez,sa3005744,678577
Jarred Kelenic,TEX,3,12,11,2,2,1,0,0,1,1,1,0,4,0,0,0,,0,0,0.216978,0.0848028,0.294487,0.287968,0.283929,0.364178,0.287174,0.648107,0.1472,4.12122,0.283655,-0.000462504,-0.00746501,1.15417,-0.295849,81.0076,-0.00792751,-0.0114846,-0.2831045752391219,-0.1434290772303939,0.000654681,999.0,,,,,,,6.1,2.033333333,6.1,2.033333333,,,,,,,,,,,,,,,,,,,Jarred Kelenic,22558,672284
Petey Halpin,CLE,5,20,18,4,3,1,0,0,2,2,1,0,6,0,0,0,,0,0,0.215906,0.0748238,0.290787,0.257315,0.27637,0.325105,0.270681,0.601474,0.109199,4.98645,0.295424,0.000286221,0.00731095,1.60061,-0.739776,69.5722,0.00759717,0.0518971,-0.7039697575382888,0.009304501116275787,0.000420726,999.0,,,,,,,10.3,2.06,10.3,2.06,,,,,,,,,,,,,,,,,,,Petey Halpin,27931,690984
LaMonte Wade Jr.,HOU,6,28,24,5,4,1,0,0,3,3,4,0,6,0,0,0,,0,0,0.219214,0.130947,0.226804,0.577359,0.326279,0.312147,0.294251,0.638426,0.092933,2.59915,0.276986,-0.0871997,-0.0379454,2.76557,-0.510977,84.9907,-0.125145,-0.0378178,-0.6165409982204437,-0.3643610142171383,-0.000266152,999.0,,,,,,,18.9,3.15,18.9,3.15,,,,,,,,,,,,,,,,,,,LaMonte Wade Jr.,18126,664774
RJ Schreck,TOR,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.212886,0.108003,0.229278,0.471055,0.303713,0.317783,0.28325,0.621496,0.104897,3.85789,0.264494,-0.00297921,-0.00359806,0.36401,-0.109155,77.539,-0.00657727,0.0027941,-0.11277117766439915,-0.04026145744137466,-0.0012011,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,RJ Schreck,sa3022602,702302
Tyler Black,MIL,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.223924,0.113333,0.248014,0.456964,0.318676,0.336915,0.299254,0.65559,0.112991,5.25895,0.289522,0.0030759,0.0104766,0.428862,-0.0595667,88.8565,0.0135525,0.0,-0.04090642649680376,-0.10370370000600815,-0.0013257,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Tyler Black,29949,672012
Griffin Conine,MIA,34,146,131,29,18,6,1,5,17,18,13,0,45,1,1,0,,1,0,0.224267,0.0914113,0.310214,0.294672,0.300931,0.383463,0.304735,0.684394,0.159196,3.99633,0.302635,-0.198061,-0.103589,15.7585,-1.45864,90.477,-0.30165,0.0157525,-1.9421609938144684,-2.7114079389721155,-0.00137713,999.0,,,,,,,145.4,4.276470588,145.4,4.276470588,,,,,,,,,,,,,,,,,,,Griffin Conine,21626,665052
Garrett Hampson,CIN,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.213007,0.0814454,0.280337,0.290527,0.279986,0.269997,0.253808,0.549983,0.05699,4.22969,0.300114,0.00402009,-0.00135873,0.275151,-0.20819,52.3475,0.00266136,0.0657575,-0.22779275733046234,0.08041796181350946,-0.00174822,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Garrett Hampson,19262,641658
Akil Baddoo,MIL,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.212549,0.107931,0.289712,0.372545,0.298937,0.320607,0.282375,0.619545,0.108059,5.35961,0.289448,0.00903085,0.00160419,0.372849,-0.11558,77.3949,0.010635,-0.00929416,-0.09983729105442762,-0.05373860243707895,-0.00224166,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Akil Baddoo,22168,668731
Jared Serna,MIA,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.231109,0.071015,0.176729,0.40183,0.2894,0.296826,0.266461,0.586226,0.0657173,3.78641,0.276579,0.000220827,-0.00118547,0.313369,-0.164884,64.4874,-0.00096464,0.00029568,-0.1709006415330805,0.01480185246327892,-0.00277957,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Jared Serna,sa3015579,691858
Tomás Nido,DET,1,4,3,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.223618,0.0476338,0.236555,0.201364,0.264338,0.290341,0.250172,0.554679,0.0667227,1.66566,0.286029,-0.0122871,-0.00475293,0.238117,-0.199143,54.194,-0.01704,-0.013938,-0.217173146083951,0.058592875488102436,-0.00286309,999.0,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,Tomas Nido,13755,621512
Christian Franklin,WSN,2,8,7,2,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.226707,0.103481,0.25183,0.410916,0.311518,0.310934,0.285995,0.622452,0.084227,3.75226,0.305983,-0.00177976,-0.00841136,0.74567,-0.20066,79.1167,-0.0101911,0.00733051,-0.2079273732379079,-0.07878060778602958,-0.00323523,999.0,,,,,,,7.2,3.6,7.2,3.6,,,,,,,,,,,,,,,,,,,Christian Franklin,sa3017510,681047
Johnathan Rodríguez,BAL,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0.238477,0.0885744,0.277924,0.3187,0.308212,0.345349,0.29443,0.653561,0.106872,3.21655,0.31964,-0.0057869,-0.00312092,0.39995,-0.0732148,85.98,-0.00890781,0.0,-0.07519329059869051,-0.10046296566724777,-0.00351238,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Johnathan Rodriguez,22530,671286
Nick Morabito,NYM,5,21,19,5,4,0,0,0,3,1,2,0,5,0,0,0,,1,0,0.241168,0.0731862,0.245213,0.29846,0.300773,0.303104,0.275416,0.603877,0.0619357,5.59975,0.318241,0.0492549,0.0211862,1.73056,-0.686145,75.2223,0.0704411,0.00317398,-0.5287015289068222,-0.15809145104140043,-0.00362473,999.0,,,,,,,16.9,3.38,16.9,3.38,,,,,,,,,,,,,,,,,,,Nick Morabito,32119,703492
Kristian Robinson,ARI,1,4,4,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.221916,0.101855,0.329588,0.309037,0.304646,0.303748,0.279542,0.608394,0.0818318,4.90808,0.333218,0.00244437,-0.00407002,0.359661,-0.12368,73.7278,-0.00162565,0.00576291,-0.12868155224714428,-0.03821856901049614,-0.00374297,999.0,,,,,,,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,Kristian Robinson,sa3006884,677565
Oliver Dunn,TBR,2,8,7,2,1,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.205053,0.0860839,0.313635,0.274472,0.277231,0.306323,0.264872,0.583554,0.10127,4.86203,0.296127,0.00391329,0.000919139,0.636088,-0.350945,63.5593,0.00483243,-0.0113367,-0.354564955458045,0.018601613119244576,-0.00421511,999.0,,,,,,,7.2,3.6,7.2,3.6,,,,,,,,,,,,,,,,,,,Oliver Dunn,26295,686554
