Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Antoine Kelly,CHC,0,0,0,4.25873,5,0,0,0,,5.0,21,4,2,2,1,2,,0,5,8.84732,4.18852,2.11228,1.04019,0.21622,0.102363,0.11385690420866013,0.227583,1.38075,0.273572,0.69989,,,4.21409,0.00105682,0.013134,999.0,,,,,,,18.299999999999997,3.6599999999999993,16.0,3.2,,,,,,,,,,,,,,,,,,,Antoine Kelly,sa3011135,681520
Easton McGee,MIL,0,0,0,4.19877,9,0,0,0,,9.0,40,9,5,4,1,3,,0,8,7.48229,3.15557,2.37113,1.09598,0.195466,0.0824356,0.11303023248910904,0.246673,1.30349,0.285625,0.702902,,,4.1961,0.000875461,-0.0187845,999.0,,,,,,,37.90000000000001,4.211111111111112,39.0,4.333333333333333,,,,,,,,,,,,,,,,,,,Easton McGee,22176,668834
Miguel Ullola,HOU,0,1,0,4.18457,10,0,0,0,,10.0,44,8,5,5,1,6,,0,12,10.2325,5.19807,1.96852,1.09538,0.261587,0.132885,0.1287023425102234,0.219256,1.39478,0.281746,0.7264,,,4.27028,0.000699721,-0.00148184,999.0,,,,,,,46.900000000000006,4.69,43.0,4.3,,,,,,,,,,,,,,,,,,,Miguel Ullola,sa3016504,699044
Ben Casparius,LAD,1,1,0,4.54206,13,0,0,0,,13.0,55,12,7,6,2,5,,1,12,8.54221,3.68103,2.32061,1.31406,0.220261,0.0949154,0.12534591555595398,0.245397,1.35533,0.289848,0.700981,,,4.46279,0.000561884,-0.0197449,999.0,,,,,,,46.39999999999999,3.5692307692307685,45.0,3.4615384615384617,,,,,,,,,,,,,,,,,,,Ben Casparius,30085,676508
Dylan Ross,NYM,0,0,0,4.07034,14,0,0,0,,14.0,61,12,7,6,2,8,,1,15,9.3988,5.1329,1.83109,0.995951,0.239612,0.130857,0.10875426232814789,0.224074,1.41068,0.281151,0.731905,,,4.27853,0.000439899,-0.010926,999.0,,,,,,,50.800000000000026,3.6285714285714303,47.0,3.357142857142857,,,,,,,,,,,,,,,,,,,Dylan Ross,sa3025659,697811
Shane Murphy,CHW,0,0,0,4.31945,6,0,0,0,,6.0,25,6,3,3,1,2,,0,4,6.45996,2.36635,2.72992,1.31974,0.169983,0.0622668,0.10771667957305908,0.260758,1.28939,0.286396,0.708163,,,4.43377,0.000244669,-0.00012566,999.0,,,,,,,18.500000000000007,3.0833333333333344,19.0,3.1666666666666665,,,,,,,,,,,,,,,,,,,Shane Murphy,sa3020389,690294
Rob Zastryzny,MIL,1,1,0,4.10218,18,0,0,0,,18.0,76,16,9,8,2,7,,1,16,8.18867,3.45933,2.36712,1.2567,0.213482,0.0901862,0.12329571694135666,0.240347,1.30507,0.280836,0.729677,,,4.39392,0.000220101,-0.00664457,999.0,,,,,,,75.00000000000003,4.166666666666668,72.0,4.0,,,,,,,,,,,,,,,,,,,Rob Zastryzny,15094,642239
Ryan Yarbrough,NYY,1,1,0,4.30819,30,0,0,4,,30.0,129,29,16,15,4,9,,2,25,7.27404,2.77928,2.61723,1.30639,0.190699,0.0728626,0.11783594638109207,0.246767,1.26216,0.277733,0.700554,,,4.49983,-7.53264e-05,-0.0378232,999.0,,,,,,,130.4,4.346666666666667,131.0,4.366666666666666,,,,,,,,,,,,,,,,,,,Ryan Yarbrough,16502,642232
Ryan Weiss,HOU,1,1,0,4.32952,14,0,0,0,,14.0,59,13,7,7,2,6,,1,14,9.28046,3.93852,2.35633,1.22459,0.238486,0.101211,0.1372750848531723,0.240182,1.35748,0.294369,0.715166,,,4.2929,-0.000100946,-0.00207458,725.9600219726562,,,,,,,52.20000000000003,3.728571428571431,51.0,3.642857142857143,,,,,,,,,,,,,,,,,,,Ryan Weiss,24621,680802
Spencer Bivens,SFG,1,0,0,4.19541,10,0,0,0,,10.0,44,11,5,5,1,3,,1,8,6.68805,2.94447,2.27139,1.00137,0.172626,0.0759999,0.09662586450576782,0.259001,1.34429,0.294807,0.704741,,,4.19775,-0.000237025,-0.00631441,999.0,,,,,,,37.1,3.71,41.0,4.1,,,,,,,,,,,,,,,,,,,Spencer Bivens,30226,702352
John Brebbia,COL,1,1,0,4.85535,15,0,0,0,,15.0,66,15,9,8,3,5,,1,15,8.76571,3.25963,2.68917,1.55783,0.224309,0.083412,0.14089737087488174,0.251527,1.3401,0.29364,0.686577,,,4.76933,-0.000305062,-0.0164658,999.0,,,,,,,47.099999999999994,3.1399999999999997,48.0,3.2,,,,,,,,,,,,,,,,,,,John Brebbia,12777,605154
Max Kranick,WSN,0,0,0,4.46054,7,0,0,0,,7.0,29,7,4,3,1,2,,0,5,7.09577,2.96872,2.39018,1.3335,0.184935,0.0773727,0.10756214708089828,0.254725,1.32446,0.285185,0.703427,,,4.52979,-0.000415553,-0.0171184,999.0,,,,,,,25.3,3.6142857142857143,26.0,3.7142857142857144,,,,,,,,,,,,,,,,,,,Max Kranick,22175,668820
Duncan Davitt,CHW,1,1,0,4.43746,12,0,0,0,,12.0,50,11,6,6,2,4,,1,10,7.78367,3.10944,2.50324,1.30476,0.201849,0.0806352,0.12121402472257614,0.250906,1.32019,0.288611,0.701973,,,4.45939,-0.000526103,-0.000251319,999.0,,,,,,,40.600000000000016,3.3833333333333346,39.0,3.25,,,,,,,,,,,,,,,,,,,Duncan Davitt,31886,701474
José Leclerc,SDP,1,1,0,4.13859,11,0,0,0,,11.0,45,9,5,5,1,5,,0,11,9.57883,4.26476,2.24604,1.23076,0.249202,0.110952,0.13825003802776337,0.224052,1.31412,0.275971,0.725316,,,4.31565,-0.000661352,0.00664778,999.0,,,,,,,52.70000000000001,4.790909090909092,49.0,4.454545454545454,,,,,,,,,,,,,,,,,,,Jose Leclerc,14524,600917
Chayce McDermott,LAD,0,1,0,4.64907,10,0,0,0,,10.0,46,9,6,5,1,6,,0,11,9.18123,5.05799,1.81519,1.24399,0.231166,0.127351,0.1038154810667038,0.235459,1.45821,0.286265,0.709043,,,4.68157,-0.000883501,-0.0340543,999.0,,,,,,,42.300000000000004,4.23,41.0,4.1,,,,,,,,,,,,,,,,,,,Chayce McDermott,29866,694646
Evan Fitterer,SDP,0,0,0,4.18474,6,0,0,0,,6.0,29,6,3,3,1,3,,0,5,7.57272,4.51724,1.6764,0.834016,0.190168,0.113438,0.07673007994890213,0.245804,1.45033,0.292629,0.715531,,,4.32494,-0.00100762,-0.00511932,999.0,,,,,,,17.500000000000007,2.916666666666668,18.0,3.0,,,,,,,,,,,,,,,,,,,Evan Fitterer,sa3011433,683157
Landon Knack,LAD,0,0,0,4.67068,5,0,0,0,,5.0,20,4,3,2,1,2,,0,4,8.55919,3.69397,2.31707,1.47088,0.221652,0.0956604,0.1259916126728058,0.243852,1.34889,0.283475,0.70066,,,4.65361,-0.00109234,-0.0170272,999.0,,,,,,,16.299999999999997,3.2599999999999993,14.0,2.8,,,,,,,,,,,,,,,,,,,Landon Knack,27487,689017
Jack Anderson,BOS,0,0,0,4.50072,11,0,0,0,,11.0,46,11,6,5,2,3,,0,9,7.30342,2.62685,2.7803,1.31085,0.189853,0.0682851,0.12156778573989868,0.262622,1.32829,0.297987,0.697917,,,4.35877,-0.001104,-0.00856555,999.0,,,,,,,37.20000000000001,3.3818181818181827,38.0,3.4545454545454546,,,,,,,,,,,,,,,,,,,Jack Anderson,30086,681252
Charlie Beilenson,SEA,0,0,0,4.25873,5,0,0,0,,5.0,21,4,2,2,1,2,,0,5,8.84732,4.18851,2.11228,1.04019,0.21622,0.102363,0.11385691910982132,0.227583,1.38075,0.273572,0.69989,,,4.21409,-0.00113145,0.0107864,999.0,,,,,,,18.299999999999997,3.6599999999999993,16.0,3.2,,,,,,,,,,,,,,,,,,,Charlie Beilenson,sa3025590,810897
Chen Zhong-Ao Zhuang,ATH,0,0,0,4.4774,8,0,0,0,,8.0,34,8,4,4,1,2,,0,7,7.52684,2.46169,3.05759,1.45775,0.1979,0.0647242,0.13317597657442093,0.258522,1.28811,0.291364,0.704163,,,4.44166,-0.00138139,0.00286597,999.0,,,,,,,34.10000000000001,4.262500000000001,35.0,4.375,,,,,,,,,,,,,,,,,,,Chen Zhong-Ao Zhuang,sa3018174,800018
Garrett Acton,MIN,1,1,0,4.42316,14,0,0,0,,14.0,59,12,7,7,2,6,,1,14,8.99516,4.11734,2.1847,1.26758,0.232816,0.106566,0.12624919414520264,0.233909,1.34599,0.281267,0.706636,,,4.41989,-0.00141174,0.000764634,999.0,,,,,,,54.800000000000026,3.914285714285716,51.0,3.642857142857143,,,,,,,,,,,,,,,,,,,Garrett Acton,27583,670183
