team_id,name,team,player_type,status
4,Triston Casas-H,BOS,hitter,active
4,Royce Lewis-H,MIN,hitter,active
4,Matt Shaw-H,CHC,hitter,active
4,Jordan Westburg-H,BAL,hitter,active
4,Bryan Reynolds-H,PIT,hitter,active
4,Yordan Alvarez-H,HOU,hitter,active
4,Walker Janek-H,HOU,hitter,prospect
4,Thayron Liranzo-H,DET,hitter,prospect
4,Jeferson Quero-H,MIL,hitter,prospect
4,Jancel Villarroel-H,HOU,hitter,prospect
4,Demetrio Crisantes-H,ARI,hitter,prospect
4,Nick Yorke-H,PIT,hitter,prospect
4,Leo De Vries-H,ATH,hitter,prospect
4,JJ Wetherholt-H,STL,hitter,prospect
4,Carson Williams-H,TB,hitter,prospect
4,Luis Baez-H,HOU,hitter,prospect
4,Zyhir Hope-H,LAD,hitter,prospect
4,Walker Jenkins-H,MIN,hitter,prospect
4,MacKenzie Gore-P,TEX,pitcher,active
4,Michael King-P,SD,pitcher,active
4,Pablo López-P,MIN,pitcher,active
4,Jesús Luzardo-P,PHI,pitcher,active
4,Yoshinobu Yamamoto-P,LAD,pitcher,active
4,Michael Kopech-P,,pitcher,active
4,Taj Bradley-P,MIN,pitcher,active
4,Corbin Burnes-P,ARI,pitcher,active
4,Jackson Jobe-P,DET,pitcher,active
4,Reynaldo López-P,ATL,pitcher,active
4,Gerrit Cole-P,NYY,pitcher,IR
4,Anderson Brito-P,TB,pitcher,prospect
4,Tink Hence-P,STL,pitcher,prospect
4,Cole Hertzler-P,HOU,pitcher,prospect
5,William Contreras-H,MIL,hitter,active
5,Rafael Devers-H,SF,hitter,active
5,Ozzie Albies-H,ATL,hitter,active
5,Marcelo Mayer-H,BOS,hitter,active
5,Zach Neto-H,LAA,hitter,active
5,Roman Anthony-H,BOS,hitter,active
5,Jackson Chourio-H,MIL,hitter,active
5,Fernando Tatis Jr.-H,SD,hitter,active
5,Kyle Schwarber-H,PHI,hitter,active
5,Vinnie Pasquantino-H,KC,hitter,active
5,Ronny Mauricio-H,NYM,hitter,active
5,Byron Buxton-H,MIN,hitter,active
5,Oneil Cruz-H,PIT,hitter,active
5,Chandler Simpson-H,TB,hitter,active
5,Cam Smith-H,HOU,hitter,active
5,Tyler Soderstrom-H,ATH,hitter,active
5,Mike Trout-H,LAA,hitter,active
5,Alfredo Duno-H,CIN,hitter,prospect
5,Rainiel Rodriguez-H,STL,hitter,prospect
5,Sal Stewart-H,CIN,hitter,prospect
5,Bryce Eldridge-H,SF,hitter,prospect
5,Kristian Campbell-H,BOS,hitter,prospect
5,Josuar Gonzalez-H,SF,hitter,prospect
5,Konnor Griffin-H,PIT,hitter,prospect
5,George Lombard Jr.-H,NYY,hitter,prospect
5,Kevin McGonigle-H,DET,hitter,prospect
5,Cooper Pratt-H,MIL,hitter,prospect
5,Spencer Jones-H,NYY,hitter,prospect
5,Emmanuel Rodriguez-H,MIN,hitter,prospect
5,Jacob deGrom-P,TEX,pitcher,active
5,George Kirby-P,SEA,pitcher,active
5,Freddy Peralta-P,NYM,pitcher,active
5,Eury Pérez-P,MIA,pitcher,active
5,Paul Skenes-P,PIT,pitcher,active
5,Edwin Díaz-P,LAD,pitcher,active
5,Jhoan Duran-P,PHI,pitcher,active
5,Jacob Misiorowski-P,MIL,pitcher,active
5,Trevor Rogers-P,BAL,pitcher,active
5,Spencer Schwellenbach-P,ATL,pitcher,IR
5,Robby Snelling-P,MIA,pitcher,prospect
5,Thomas White-P,MIA,pitcher,prospect
5,Payton Tolle-P,BOS,pitcher,prospect
6,Salvador Perez-H,KC,hitter,active
6,Pete Alonso-H,BAL,hitter,active
6,Jose Altuve-H,HOU,hitter,active
6,Alex Bregman-H,CHC,hitter,active
6,Mookie Betts-H,LAD,hitter,active
6,Adolis García-H,PHI,hitter,active
6,Teoscar Hernández-H,LAD,hitter,active
6,Kyle Tucker-H,LAD,hitter,active
6,Shohei Ohtani-H,LAD,hitter,active
6,Logan O'Hoppe-H,LAA,hitter,active
6,Dalton Rushing-H,LAD,hitter,active
6,Yandy Díaz-H,TB,hitter,active
6,Matt McLain-H,CIN,hitter,active
6,Austin Riley-H,ATL,hitter,active
6,CJ Abrams-H,WSH,hitter,active
6,Samuel Basallo-H,BAL,hitter,prospect
6,Charlie Condon-H,COL,hitter,prospect
6,Tre Morgan-H,TB,hitter,prospect
6,Franklin Arias-H,BOS,hitter,prospect
6,Colt Emerson-H,SEA,hitter,prospect
6,Jaison Chourio-H,CLE,hitter,prospect
6,Justin Crawford-H,PHI,hitter,prospect
6,Braden Montgomery-H,CHW,hitter,prospect
6,Ryan Waldschmidt-H,ARI,hitter,prospect
6,Garrett Crochet-P,BOS,pitcher,active
6,Merrill Kelly-P,ARI,pitcher,active
6,Ryan Pepiot-P,TB,pitcher,active
6,Cristopher Sánchez-P,PHI,pitcher,active
6,Blake Snell-P,LAD,pitcher,active
6,Carlos Estévez-P,KC,pitcher,active
6,Robert Suarez-P,ATL,pitcher,active
6,Chase Burns-P,CIN,pitcher,active
6,Chris Sale-P,ATL,pitcher,active
6,Roki Sasaki-P,LAD,pitcher,active
6,Josh Hader-P,HOU,pitcher,active
6,Shane McClanahan-P,TB,pitcher,IR
6,Cam Caminiti-P,ATL,pitcher,prospect
6,Bubba Chandler-P,PIT,pitcher,prospect
6,K.C. Hunt-P,MIL,pitcher,prospect
6,Quinn Mathews-P,STL,pitcher,prospect
6,Trey Yesavage-P,TOR,pitcher,prospect
