Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Denyi Reyes",,0.0464,0.0648,0.0336,5.04657,0.5391,0.0981,0,0,,1,4.374,1.1334,0.5987,0.56073,0.163444,0.2889,0.0133,0.0429,0.638,5.742,2.6001,2.20838,1.471,0.145862,0.0660494,0.07981252670288086,0.280392,1.4223,0.299299,0.690084,0.40599,,4.97931,-0.00656127,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Denyi Reyes","20526",660593
"Kyle Barraclough",,0.0443,0.0537,0,5.02173,1,0,0,0,,1,4.454,1.0371,0.5946,0.55797,0.152333,0.4601,0.0258,0.05,0.8102,7.2918,4.1409,1.76092,1.371,0.181904,0.1033,0.07860349863767624,0.262963,1.4972,0.296765,0.702996,0.389204,,5.02537,-0.00656454,-0.0441655,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kyle Barraclough","13713",607457
"Houston Harding","LAA",0.0436,0.0544,0,4.83075,1,0,0,0,,1,4.437,1.0404,0.5745,0.53675,0.153778,0.4589,0.0269,0.0365,0.7558,6.8022,4.1301,1.64698,1.384,0.17034,0.103426,0.06691458821296692,0.263954,1.4993,0.292419,0.720243,0.398765,,5.10885,-0.00657365,-0.0465809,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Houston Harding","sa3017820",699613
"Logan Gragg",,0.0454,0.0547,0.0054,4.81329,0.9258,0.0158,0,0,,1,4.385,1.0592,0.5719,0.53481,0.156444,0.3629,0.0246,0.0468,0.7086,6.3774,3.2661,1.9526,1.408,0.161596,0.0827594,0.07883694022893906,0.266445,1.4221,0.290251,0.706687,0.395004,,4.98081,-0.00657808,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Logan Gragg","sa3010306",685401
"Andrew Bash","MIN",0.0459,0.0619,0.0247,4.9536,0.6562,0.0732,0,0,,1,4.43,1.0594,0.588,0.5504,0.151778,0.4079,0.0172,0.0511,0.742,6.678,3.6711,1.81907,1.366,0.167494,0.0920768,0.07541760057210922,0.266784,1.4673,0.294949,0.700743,0.399169,,5.00125,-0.00657873,-0.0473678,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Andrew Bash","sa3010259",687856
"Patrick Wicklander",,0.0454,0.0526,0,4.73022,1,0,0,0,,1,4.44,1.0455,0.564,0.52558,0.142333,0.4438,0.0269,0.0434,0.7311,6.5799,3.9942,1.64736,1.281,0.164662,0.099955,0.0647072121500969,0.264496,1.4893,0.293296,0.717268,0.407994,,4.98487,-0.00662352,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Patrick Wicklander","sa3017304",677353
"Indigo Diaz","ARI",0.0461,0.052,0,4.81581,1,0,0,0,,1,4.429,1.0398,0.5726,0.53509,0.138111,0.4435,0.0269,0.0386,0.7958,7.1622,3.9915,1.79436,1.243,0.179679,0.100135,0.07954390347003937,0.263447,1.4833,0.299267,0.705999,0.401529,,4.78528,-0.00663721,-0.0452892,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Indigo Diaz","sa3011726",666301
"Dylan Hecht","SFG",0.0447,0.0533,0,4.60647,1,0,0,0,,1,4.46,0.9863,0.5504,0.51183,0.125889,0.5104,0.0271,0.0447,0.8854,7.9686,4.5936,1.73472,1.133,0.19852,0.114439,0.08408072590827942,0.25258,1.4967,0.297349,0.716647,0.419275,,4.66619,-0.00664313,-0.0496846,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Dylan Hecht","sa3067284",663408
"Yorlin Calderon",,0.0452,0.0549,0.0052,4.83075,0.9274,0.0154,0,0,,1,4.46,1.0569,0.5775,0.53675,0.135556,0.4454,0.025,0.0627,0.7174,6.4566,4.0086,1.61069,1.22,0.160852,0.0998655,0.06098654866218567,0.267441,1.5023,0.297309,0.704598,0.448,,4.98686,-0.00664581,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yorlin Calderon","sa3010371",683583
"Eddy Yean","WSN",0.0438,0.0614,0.0187,4.82535,0.7502,0.0532,0,0,,1,4.465,1.0691,0.5792,0.53615,0.129111,0.4697,0.0201,0.0465,0.663,5.967,4.2273,1.41154,1.162,0.148488,0.105196,0.043292269110679626,0.27074,1.5388,0.297777,0.706604,0.474888,,5.03618,-0.00664588,-0.0457268,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Eddy Yean","sa3006543",678868
